,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
38,L_dzgUjGhts,BATB9 | Chris Colbourn Vs Walker Ryan - Round 2,9,105148,2505,20
39,TuMSnLF-uys,BATB9 | Frankie Heck Vs Michael Sommer - Round 2,9,83515,1540,13
40,XglSQFPyuMA,BATB9 | Micky Papa Vs Brian Peacock - Round 2,9,125947,1722,105
41,y-gRZsQVNWw,BATB9 | Jimmy Carlin - Battle Prologue: Walker Ryan Vs Chris Colbourn - Round 2,9,17540,220,4
42,9UN5cuU3YCg,BATB9 | Trent McClung - Battle Prologue: Frankie Heck Vs Michael Sommer - Round 2,9,12963,164,3
43,5iqTajS4HPw,BATB9 | Eric Koston - Battle Prologue: Brian Peacock Vs Micky Papa - Round 2,9,17527,212,7
44,25uFhefSey0,BATB9 | Alec Majerus Vs Blake Carpenter - Round 1,9,87079,1323,156
45,xWOIOlsJ1MI,BATB9 | Brandon Westgate Vs Nick Matthews - Round 1,9,99626,1260,175
46,ol_81XOB5B0,BATB9 | Shane Heyl - Battle Prologue: Blake Carpenter Vs Alec Majerus - Round 1,9,19152,225,15
47,YpiAVnklV8w,BATB9 | Chris Cole - Battle Prologue: Brandon Westgate Vs Nick Matthews - Round 1,9,20114,272,7
48,RxM2buj6hjM,BATB9 | Josh Matthews Vs Dan Plunkett - Round 1,9,98770,2149,14
49,mlGd2-8t3qY,BATB9 | Bobby De Keyzer Vs Aramis Hudson - Round 1,9,188162,2812,69
0,EekRTP01NW4,BATB: Classic Moment - Koston's Comeback Against Sewa,X,13661,400,11
1,ryb9FULXRPk,BATB X | This Weekend...,X,12705,478,2
2,LQ2lsQyjE5E,BATB X | BATTLETALK: Week 10 - with Mike Mo and Chris Roberts,X,24275,611,24
3,wFUskr7S3nY,BATB: Classic Moment - Cody Cepeda's BATB7 Cinderella Story,X,18875,562,12
4,a23Di-vQSg8,BATB X | PJ Ladd vs. Moose - Round 2,X,214767,7209,69
5,puVFjk025qU,BATB X | Before The Battle: PJ Ladd vs. Moose,X,38004,782,16
6,xMqmfIdBtdU,BATB X | Chris Joslin vs. Tom Asta - Round 2,X,264447,9979,70
