	PX	PY	PZ	X	Y	Z	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
124.0	1634.3510826826332	239.51598659756218	88.64503111185763	18.640264144759694	0.15161998030124102	1.8023710674540565	6.460223268416411	0.05254748093117983	0.6246542118642991	129.20446536832821	1.0509496186235967	12.493084237285982	113.28458450065612	16.601983080913385	6.144405338583275	5.100024993602507	0.04794138432914657	0.843188084161347
126.0	1645.0933237571605	210.42284983105696	103.65096240137883	15.716708570103487	0.14467774383076878	2.297628745592167	5.44699611652478	0.0501414851130357	0.7962974434903473	108.93992233049562	1.002829702260714	15.925948869806945	114.0291799120265	14.585400508578589	7.184537235084063	3.914790740750282	0.047707977609166057	1.0752119623483363
128.0	1615.1464203870528	185.03242741403508	123.98616982535864	12.633145938815524	0.14159344739144622	2.927483575367548	4.378314744546151	0.04907254942257194	1.014588493200782	87.56629489092303	0.9814509884514389	20.291769864015638	111.95341874827737	12.825470537420115	8.59406640428739	2.8552644785040795	0.04837031662586874	1.368058461296931
130.0	1549.9794765154008	162.91064583077033	150.899548616355	9.720106398422125	0.1417341168789555	3.722199910420581	3.36873217240449	0.04912130175190088	1.2900161866942532	67.3746434480898	0.9824260350380177	25.800323733885065	107.436390407243	11.292105484079826	10.459559667119485	1.997610762320154	0.049946453575504285	1.7340585288028438
132.0	1457.980534565625	143.6742825474071	185.89193787862152	7.201576871363432	0.14487967721201875	4.715109648753408	2.4958763519856375	0.050211469889972875	1.6341324795322094	49.91752703971275	1.0042293977994576	32.68264959064419	101.05950968454448	9.958742386670819	12.8850472629391	1.3562597793773046	0.05254117276386372	2.185892203247782
134.0	1348.500820183031	126.98912154425635	230.71085280874297	5.174221050056635	0.15114060646477434	5.940511387523379	1.7932483662203378	0.05238134261958929	2.0588243596730393	35.864967324406756	1.0476268523917858	41.17648719346079	93.47095414926417	8.80221515601855	15.991657714896071	0.9045976397932709	0.05634646435052454	2.7351426665161513
136.0	1230.2120221167895	112.56762805891321	287.307989501145	3.6324021913223206	0.16092543786700503	7.4298631820066845	1.2588946687874167	0.055772506768944595	2.5749943582770385	25.177893375748337	1.115450135378892	51.49988716554077	85.27179946212017	7.802593401135628	19.9146722875065	0.599867467383214	0.061651033481776404	3.3899900374893277
138.0	1110.1487027168284	100.16675303463234	357.73881352482704	2.51083387390838	0.17494431931035115	9.20577270589403	0.8701887102769994	0.060631080842474344	3.190477697983073	17.40377420553999	1.212621616849487	63.809553959661464	76.94964432904504	6.943030245179974	24.796564997159386	0.4000655075851324	0.06885804597665167	4.151932451225835
140.0	993.4109304387019	89.58627581135046	443.9812723680379	1.7223365540486	0.19424353044886145	11.273548140489336	0.5969163632070594	0.0673196777363191	3.9071140542434986	11.93832726414119	1.346393554726382	78.14228108486998	68.85799855710181	6.209647449550319	30.774436716332257	0.2713051125739341	0.07851156750731422	5.011663250068535
142.0	883.3065823168849	80.66799846239537	547.6537874077425	1.182057568255139	0.22026873205803296	13.610679906442247	0.4096699353477974	0.0763393252957698	4.7171022013271715	8.193398706955948	1.5267865059153958	94.34204402654343	61.226146710299	5.591479569562336	37.96046786646524	0.18903176301596647	0.09133298569659337	5.944650544750689
144.0	781.7015964172879	73.29606140469765	669.6270933850687	0.8187710558391682	0.25495808476497794	16.15568052296494	0.2837644244395045	0.088361738807904	5.599132202260185	5.67528848879009	1.76723477615808	111.9826440452037	54.18342575958513	5.08049583088148	46.415013180641154	0.13655989481464836	0.10826886789938808	6.907488522251324
146.0	689.406018292226	67.3986360171164	809.5523410606174	0.5776437303024287	0.30086900894310653	18.79886166726713	0.20019606151362893	0.10427325263338963	6.515188981201321	4.003921230272579	2.0854650526677925	130.30377962402642	47.78598378403145	4.671717452885021	56.113892272187016	0.10298907951901005	0.13055345963352963	7.8364966442029855
148.0	606.5173370094589	62.95128387722313	965.3623046455223	0.418904800190654	0.36134496959954343	21.378496961166988	0.14518134058758952	0.12523262344372132	7.409222446621128	2.9036268117517907	2.504652468874427	148.18444893242255	42.040578210883254	4.3634504932125955	66.91381596838947	0.08136662851753898	0.1597882701304546	8.650019971324312
150.0	532.6902536310296	59.982407282170996	1132.8391815724915	0.31483598359534104	0.440730958992097	23.685879098117393	0.10911383718396392	0.15274571080542645	8.208900157971906	2.1822767436792785	3.0549142161085294	164.1780031594381	36.92327474161103	4.157663649083515	78.52242847348084	0.06731892095308825	0.19804101410215216	9.255283246412716
152.0	467.32702759702363	58.581037574313555	1305.3827820728054	0.246680864943615	0.544639698739791	25.48147987346861	0.08549307301687768	0.18875773580125207	8.83120796539488	1.709861460337554	3.775154716025041	176.6241593078976	32.392641157833665	4.0605281028911655	90.48223949452625	0.0581140475039099	0.24796903533510478	9.559908025797117
154.0	409.70899722086546	58.90754999231849	1474.0923047195188	0.2020069170605964	0.6802851336083341	26.523203208343666	0.07001026250707955	0.23576886116873122	9.192241761640954	1.4002052501415911	4.715377223374625	183.8448352328191	28.398863627368534	4.083160219086959	102.17629249014462	0.05205147795833623	0.3129669903695186	9.48780265452368
156.0	359.0799978306702	61.2077199090512	1628.2856264250404	0.17269806232467066	0.856881628943504	26.60673865065621	0.059852587494255594	0.2969725425879015	9.221192939798838	1.1970517498851119	5.93945085175803	184.42385879597677	24.88952880918003	4.242595848346167	112.8641591102801	0.04807521786680144	0.39734005876975553	8.999051089864993
158.0	314.69704083557116	65.8305910960323	1756.5461186673965	0.1535199944159198	1.08611138669062	25.61625723550223	0.053205975644486675	0.3764175227293279	8.877918239643334	1.0641195128897336	7.528350454586557	177.55836479286668	21.81313665857341	4.563028861280942	121.7544989677821	0.045533254634527176	0.5064979191092621	8.111343666576248
